Model,Batt_PR,Batt_NR,Scr_PR,Scr_NR,Spd_PR,Spd_NR,Mem_PR,Mem_NR
Model,0,0,0,0,0,0,0,0
iPad 9th Gen,4,1,7,2,1,0,1,0
iPad Air 11inch M2,7,0,13,0,5,0,2,0
iPhone 15 128GB,30,0,9,0,1,0,0,0
Tab M9,18,2,22,3,7,0,4,2
Galaxy Tab A9 ,23,0,34,0,10,0,6,0
Redmi Pad Pro WiFi,1,0,2,0,1,0,2,0
Galaxy Tab S9 FE ,14,0,29,0,10,0,8,0
iPad Air 13inch M2,8,0,22,0,1,0,1,0
iPad Pro 13Inch M4,15,1,30,0,5,0,1,0
iPhone 12 64GB,30,0,18,0,0,0,2,0
Galaxy S24 Ultra,21,0,18,0,3,0,1,0
Galaxy Tab S10 ,12,1,27,1,10,0,4,0
iPad Pro 11inch M4,12,1,15,3,7,0,1,0
iPhone 13 128GB,38,1,18,0,0,0,2,0
iPhone 14 128GB,36,1,15,1,0,0,0,0
iPad 10th Gen,17,0,25,0,2,0,2,0
Tab M11,11,1,22,3,5,2,2,1
Galaxy S24 FE AI,12,0,14,0,2,0,1,0
Galaxy S24 ,52,1,46,3,9,0,8,0
Galaxy Tab S6 Lite,16,0,17,1,3,0,2,1
Galaxy Tab S9,25,0,63,0,15,0,13,0
Galaxy Tab S9 FE Plus,0,0,0,0,0,0,0,0
Galaxy Tab S9 ,14,0,29,0,10,0,8,0
Redmi Pad SE,8,0,5,0,2,0,5,0
Test Phone,1,6,0,0,0,0,0,0
